Category,URL,Title,Status,Total,Pending,Done
,,,,186,167,19
GENERAL,https://cloud.google.com/certification/cloud-security-engineer,Professional Cloud Security Engineer - Exam Overview,DONE,,,
GENERAL,https://cloud.google.com/certification/guides/cloud-security-engineer/,Professional Cloud Security Engineer - Certification exam guide,DONE,,,
GENERAL,https://cloud.google.com/security/,GCP Security Overview,DONE,,,
GENERAL,https://cloud.google.com/security/overview/whitepaper,Google security whitepaper,DONE,,,
GENERAL,https://services.google.com/fh/files/helpcenter/google_encryptionwp2016.pdf?utm_medium=et&utm_source=google.com%2Fcloud&utm_campaign=gdpr&utm_content=commitments_to_the_gdpr,How Google Uses Encryption to Protect Your Data,DONE,,,
GENERAL,https://cloud.google.com/security/infrastructure/design/,Google Infrastructure Security Design Overview,TODO,,,
GENERAL,https://en.wikipedia.org/wiki/Security_information_and_event_management,Security information and event management,TODO,,,
GENERAL,https://cloud.google.com/files/GCPDDoSprotection-04122016.pdf,Best Practices for DDoS Protection and Mitigation on Google Cloud Platform,TODO,,,
GENERAL,https://medium.com/google-cloud/gcp-checklist-2-securing-your-gcp-resources-7c5140c12f8c,GCP Checklist 2 — Securing your GCP resources,DONE,,,
GENERAL,https://medium.com/google-cloud/google-cloud-platform-container-threat-detection-and-protection-a40ef4403bca,Google Cloud Platform Container and VM Threat Detection And Protection,DONE,,,
GENERAL,https://cloud.google.com/docs/enterprise/best-practices-for-enterprise-organizations,Best practices for enterprise organizations,DONE,,,
GENERAL,https://medium.com/google-cloud/gcp-products-described-in-4-words-or-less-f3056550e595,GCP products described in 4 words or less,TODO,,,
,,,,,,
COMPLIANCE,https://cloud.google.com/security/compliance/,"Standards, regulations & certifications",TODO,,,
COMPLIANCE,https://cloud.google.com/security/gdpr/,Google Cloud & the General Data Protection Regulation (GDPR),TODO,,,
COMPLIANCE,https://cloud.google.com/security/compliance/pci-dss/,PCI DSS - Protecting customers’ card information.,TODO,,,
COMPLIANCE,https://cloud.google.com/solutions/pci-dss-compliance-in-gcp,PCI Data Security Standard compliance,TODO,,,
COMPLIANCE,https://cloud.google.com/security/compliance/hipaa/,HIPAA Compliance on Google Cloud Platform,TODO,,,
COMPLIANCE,https://cloud.google.com/solutions/architecture-hipaa-aligned-project,Architecture: HIPAA-aligned Cloud Healthcare,TODO,,,
COMPLIANCE,https://cloud.google.com/security/compliance/coppa/,COMPLIANCE,TODO,,,
,,,,,,
ENCRYPTION,https://cloud.google.com/security/encryption-at-rest/,ENCRYPTION AT REST,TODO,,,
ENCRYPTION,https://cloud.google.com/security/encryption-in-transit/application-layer-transport-security/,Application Layer Transport Security,TODO,,,
ENCRYPTION,https://cloud.google.com/security/encryption-in-transit/,Encryption in Transit in Google Cloud,TODO,,,
ENCRYPTION,https://cloud.google.com/security/encryption-at-rest/customer-supplied-encryption-keys/,Customer-Supplied Encryption Keys,TODO,,,
GENERAL,https://www.youtube.com/watch?v=ZQHoC0cR6Qw,A Security Practitioners Guide to Best Practice GCP Security (Cloud Next '18),TODO,,,
GENERAL,https://www.youtube.com/watch?v=SODBxR_h7g0,Blending GCP Security Controls (Cloud Next '18),TODO,,,
,,,,,,
COURSES,https://www.coursera.org/learn/managing-security-in-google-cloud-platform,Managing Security in Google Cloud Platform,TODO,,,
COURSES,https://www.coursera.org/learn/mitigating-security-vulnerabilites-gcp,Mitigating Security Vulnerabilities on Google Cloud Platform,TODO,,,
COURSES,https://linuxacademy.com/course/google-security-essentials/,Google Cloud Security Essentials,TODO,,,
,,,,,,
GCE,https://cloud.google.com/compute/docs/images,Images,TODO,,,
GCE,https://cloud.google.com/compute/docs/images/guest-environment,Guest environment,TODO,,,
GCE,https://cloud.google.com/compute/docs/instances/os-inventory-management,OS Inventory Management,TODO,,,
GCE,https://cloud.google.com/security/shielded-cloud/shielded-vm,Shielded VM,TODO,,,
GCE,https://cloud.google.com/compute/docs/nodes/,Sole-tenant nodes,TODO,,,
